Question number,Answer,Question,Option A,Option B,Option C,Figures Number ,Explanation,Study Unit
1001,C ,A blue segmented circle on a Sectional Chart depicts which class airspace?,Class B,Class C,Class D,,Class D airspace is marked on a Sectional Chart in a blue segmented circle. A is incorrect because Class B airspace is marked by a solid blue line. B is incorrect because Class C airspace is marked by a solid purple line.,1
1002,A ,Airspace at an airport with a part-time control tower is classified as Class D airspace only,when the associated control tower is in operation.,when the associated Flight Service Station is in operation.,when the weather minimums are below basic VFR.,,"See AIM 3-2-5, which states that when the associated control tower is in operation airspace at an airport with a part-time control tower is classified as Class D airspace. B is incorrect because the Flight Service Station may be in operation when the part-time control tower is in operation. C is incorrect because weather does not have to do with the predetermined schedule of the control tower.",1
1003,B ,Two-way radio communication must be established with the Air Traffic Control facility having jurisdiction over the area prior to entering which class airspace?,Class E,Class C,Class G,,Two-way radio communication must be established with the ATC facility having jurisdiction over the area prior to entering Class C airspace. A and C are incorrect because they do not require two-way radio communication to be established with the ATC facility prior to entering the airspace.,1
1004,A ,What minimum radio equipment is required for operation within Class C airspace?,"Two-way radio communications equipment, a 4096-code transponder, and an encoding altimeter.",Two-way radio communications equipment and a 4096-code transponder.,"Two-way radio communications equipment, a 4096-code transponder, and DME.",,"In order to operate in Class C airspace, two-way radio communications equipment, a 4096-code transponder, and an encoding altimeter are required. B is incorrect because it lacks a transponder. C is incorrect because a DME is not required whereas an encoding altimeter is required.",1
1005,B ,What minimum pilot certification is required for operation within Class B airspace?,Private Pilot Certificate with an instrument rating.,Private Pilot Certificate or Student Pilot Certificate with appropriate logbook endorsements.,Recreational Pilot Certificate.,,"In order to operate within Class C airspace, a pilot must hold a private pilot certificate or student pilot certificate with appropriate logbook endorsement. A and C are incorrect because without the appropriate logbook endorsement a pilot is not allowed to operate within Class B airspace.",1
1006,A ,In which type of airspace are VFR flights prohibited?,Class A,Class B,Class C,,VFR flights are prohibited in Class A airspace. B and C are incorrect because VFR flights are permitted in Class B and Class C Airspaces.,1
1007,C ,"(Refer to figure 26, area 4.) The floor of Class B airspace overlying Hicks Airport (T67) north-northwest of Fort Worth Meacham Field is",at the surface.,"3,200 feet MSL.","4,000 feet MSL.",26,"The thick blue lines on the sectional chart indicate the boundaries of the overlying Class B airspace. Within each segment, the floor and ceiling are denoted by one number over a second number or the letters SFC. The floor of the Class B airspace is 4,000 feet MSL.",1
1008,A ,"(Refer to figure 26, area 2.) The floor of Class B airspace at Addison Airport is","3,000 feet MSL.",at the surface.,"3,100 feet MSL.",26,"The thick blue lines on the sectional chart indicate the boundaries of the overlying Class B airspace. Within each segment, the floor and ceiling are denoted by one number over a second number or the letters SFC. The floor of the Class B airspace is 3,000 feet MSL.",1
1009,B ,(Refer to figure 21.) What hazards to aircraft may exist in warning areas such as Warning W-50B?,Heavy military aircraft traffic in the approach and departure area of the North Atlantic Control Area.,"Unusual, often invisible, hazards such as aerial gunnery or guided missiles over domestic or international waters or both.",High volume of pilot training or unusual type of aerial activity.,21,"Warning areas contain activity (aerial gunnery, guided missiles, etc.) that may be hazardous to nonparticipating aircraft.",1
1010,C ,(Refer to figure 27.) What hazards to aircraft may exist in areas such as Devils Lake East MOA?,Parachute jump operations.,"Unusual, often invisible, hazards to aircraft such as artillery firing.",High density military training activities.,27,Military operations areas (MOAs) denote areas of military training.,1
1011,A ,(Refer to figure 22.) What type military flight operations should a pilot expect along IR 644?,"IFR training flights above 1,500 feet AGL at speeds in excess of 250 knots.","Instrument training flights below 1,500 feet AGL at speeds in excess of 150 knots.","VFR training flights above 1,500 feet AGL at speeds less than 250 knots.",22,"Military training routes are below 10,000 ft MSL for operations at speeds in excess of 250 kt. IR means the routes are made in accordance with Instrument Flight Rules. MTRs with no segment above 1,500 feet AGL are identified by four number characters (e.g., IR1206, VR1207). MTRs that include one or more segments above 1,500 feet AGL are identified by three number characters (e.g., IR206, VR207).",1
1012,A ,"(Refer to figure 27, area 3.) When flying over Arrowwood National Wildlife Refuge, a pilot should fly no lower than","2,000 feet AGL.","2,500 feet AGL.","3,000 feet AGL.",27,"According to AIM 7-4-6, pilots are requested to maintain a minimum altitude of 2,000 feet above the surface of the following: National Parks, Monuments, Seashores, Lakeshores, Recreation Areas and Scenic Riverways administered by the National Park Service, National Wildlife Refuges, Big Game Refuges, Game Ranges and Wildlife Ranges administered by the U.S. Fish and Wildlife Service, and Wilderness and Primitive areas administered by the U.S. Forest Service.",1
1013,B ,"(Refer to figure 23, area 2 and legend 1.) For information about the parachute jumping and glider operations at Silverwood Airport, refer to",notes on the border of the chart.,the Airport/Facility Directory.,the Notices to Airmen (NOTAM) publication.,23,The A/FD contains information about parachute or glider activities if it exists near the airport.,1
1014,C,"(Refer to figure 27, area 2.) The visibility and cloud clearance requirements to operate VFR during daylight hours over the town of Cooperstown between 1,200 feet AGL and 10,000 feet MSL are","1 mile and 1,000 feet above, 500 feet below, and 2,000 feet horizontally from clouds.",1 mile and clear of clouds.,"3 miles and 1,000 feet above, 500 feet below, and 2,000 feet horizontally from clouds.",27,"The shaded magenta lines, show that airspace above 700 feet is class E.  In class E, the visibility requirements are 3 miles and the cloud clearance requirements are 1,000 feet above, 500 feet below, and 2,000 feet horizontally.",1
1015,C ,"(Refer to figure 27, area 1.) Identify the airspace over Tomlinson Airport that exists from the surface to 14,500 feet MSL.","Class G airspace - surface to 3,500 feet MSL; Class E airspace - 3,500 feet MSL to 14,500 feet MSL.","Class G airspace - surface to 3,500 feet MSL; Class E airspace - 3,500 feet MSL to 10,000 feet MSL; Class G airspace - 10,000 feet MSL to 14,500 feet MSL.","Class G airspace - surface to 14,500 feet MSL.",27,"Since there are no markings to indicate class B, C, D, or E airspace, this airspace is class G until the floor of class E which starts at 14,500 feet MSL.",1
1016,A ,"(Refer to figure 27, area 5.) The airspace overlying and within 5 miles of Barnes County Airport is",Class G airspace from the surface to 700 feet AGL.,Class D airspace from the surface to the floor of the overlying Class E airspace.,"Class E airspace from the surface to 1,200 feet MSL.",27,Class G airspace underlies the Class E airspace that starts at 700' AGL indicated by the shaded magenta lines. B is incorrect because class D is represented by blue segmented lines. C is incorrect because class E starting at 1200 MSL is represented by blue shaded lines. ,1
1017,B,"(Refer to figure 26, area 7.) The airspace overlying McKinney Regional is uncontrolled from the surface to","4,000 feet AGL.","2,900 feet MSL.",700 feet AGL.,26,"The blue dashed box inside the dashed circle to the left of Mc Kinney Regional airport shows 29.  This indicates that the airspace is controlled from the surface to 2,900 feet MSL.",1
1018,B ,"(Refer to figure 26, area 4.) The airspace directly overlying Fort Worth Meacham is","Class B airspace to 10,000 feet MSL.","Class D airspace to 3,200 feet MSL.","Class C airspace to 5,000 feet MSL.",26,The airspace is class D up to 3200 MSL as indicated by the blue segmented lines on the sectional chart.,1
1019,C ,"(Refer to figure 24, area 3.) What is the floor of the Savannah Class C airspace at the shelf area (outer circle)?","1,700 feet MSL.","1,300 feet AGL.","1,300 feet MSL.",24,The floor is indicated on the sectional charts. It is always given in MSL.,1
1020,A ,"(Refer to figure 21, area 1.) What minimum radio equipment is required to land and take off at Norfolk International?",Mode C transponder and two-way radio.,Mode C transponder and omnireceiver.,"Mode C transponder, omnireceiver, and DME.",21,"The area surrounding the airport is class C airspace, and the minimum equipment needed to operate within Class C airspace is a 4096-code transponder with Mode C capability and two-way radio communication capability.",1
